,Unnamed: 0,gameTime,label,position,team,visibility,url_local
1220,1220,1 - 20:12,PLAYER SUCCESSFUL TACKLE,1212880,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1266,1266,1 - 20:48,SHOT,1248040,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1337,1337,1 - 22:07,BALL PLAYER BLOCK,1327360,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1370,1370,1 - 22:35,BALL PLAYER BLOCK,1355640,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1490,1490,1 - 24:43,SHOT,1483600,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1493,1493,1 - 24:44,BALL PLAYER BLOCK,1484040,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1500,1500,1 - 24:48,SHOT,1488400,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1584,1584,1 - 26:25,BALL PLAYER BLOCK,1585000,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1823,1823,1 - 31:06,CROSS,1866920,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1842,1842,1 - 31:23,CROSS,1883800,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1843,1843,1 - 31:24,BALL PLAYER BLOCK,1884080,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1869,1869,1 - 31:48,CROSS,1908120,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1883,1883,1 - 31:57,CROSS,1917800,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1992,1992,1 - 33:13,PLAYER SUCCESSFUL TACKLE,1993800,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2183,2183,1 - 36:52,PLAYER SUCCESSFUL TACKLE,2212440,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2209,2209,1 - 37:23,CROSS,2243240,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2210,2210,1 - 37:25,SHOT,2245600,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2215,2215,1 - 37:38,CROSS,2258600,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2221,2221,1 - 37:41,CROSS,2261480,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2297,2297,1 - 39:08,BALL PLAYER BLOCK,2348640,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2311,2311,1 - 39:22,SHOT,2362160,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2315,2315,1 - 39:24,SHOT,2364440,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2317,2317,1 - 39:25,GOAL,2365640,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2399,2399,1 - 40:58,PLAYER SUCCESSFUL TACKLE,2458040,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2442,2442,1 - 41:40,CROSS,2500320,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2443,2443,1 - 41:41,BALL PLAYER BLOCK,2501160,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2540,2540,1 - 43:27,CROSS,2607560,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
2872,2872,1 - 49:30,BALL PLAYER BLOCK,2970120,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3002,3002,1 - 51:08,SHOT,3068520,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3053,3053,1 - 52:13,SHOT,3133680,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3110,3110,1 - 53:10,BALL PLAYER BLOCK,3190200,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3247,3247,1 - 55:34,BALL PLAYER BLOCK,3334200,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3294,3294,1 - 56:20,CROSS,3380360,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3295,3295,1 - 56:20,BALL PLAYER BLOCK,3380680,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3312,3312,1 - 56:33,CROSS,3393480,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3454,3454,1 - 59:07,BALL PLAYER BLOCK,3547480,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3500,3500,1 - 59:59,SHOT,3599040,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3502,3502,1 - 59:59,BALL PLAYER BLOCK,3599680,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3531,3531,1 - 60:26,CROSS,3626280,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3534,3534,1 - 60:28,SHOT,3628520,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3536,3536,1 - 60:29,BALL PLAYER BLOCK,3629320,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3621,3621,1 - 61:51,CROSS,3711320,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3660,3660,1 - 62:34,CROSS,3754240,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3725,3725,1 - 63:55,FREE KICK,3835600,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3737,3737,1 - 64:09,SHOT,3849680,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3739,3739,1 - 64:10,BALL PLAYER BLOCK,3850360,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3778,3778,1 - 64:51,BALL PLAYER BLOCK,3891480,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3780,3780,1 - 64:51,CROSS,3891160,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3882,3882,1 - 66:48,FREE KICK,4008080,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3883,3883,1 - 66:49,SHOT,4009680,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3961,3961,1 - 68:21,PLAYER SUCCESSFUL TACKLE,4101280,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3964,3964,1 - 68:23,BALL PLAYER BLOCK,4103960,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
3998,3998,1 - 68:45,SHOT,4125760,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4000,4000,1 - 68:46,BALL PLAYER BLOCK,4126320,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4019,4019,1 - 69:17,CROSS,4157720,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4038,4038,1 - 69:30,SHOT,4170840,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4039,4039,1 - 69:31,BALL PLAYER BLOCK,4171520,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4147,4147,1 - 71:29,SHOT,4289840,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4259,4259,1 - 73:33,PLAYER SUCCESSFUL TACKLE,4413200,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4306,4306,1 - 74:18,SHOT,4458440,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4309,4309,1 - 74:19,BALL PLAYER BLOCK,4459000,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4337,4337,1 - 74:42,PLAYER SUCCESSFUL TACKLE,4482760,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4518,4518,1 - 77:51,CROSS,4671520,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4628,4628,1 - 79:18,SHOT,4758320,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4771,4771,1 - 81:46,CROSS,4906480,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4847,4847,1 - 83:37,CROSS,5017840,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
4910,4910,1 - 84:17,CROSS,5057920,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
5006,5006,1 - 86:07,SHOT,5167760,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
5007,5007,1 - 86:08,BALL PLAYER BLOCK,5168160,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
5008,5008,1 - 86:09,SHOT,5169560,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
5126,5126,1 - 88:36,FREE KICK,5316240,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
5130,5130,1 - 88:40,SHOT,5320640,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
5197,5197,1 - 89:56,CROSS,5396480,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
5310,5310,1 - 91:35,BALL PLAYER BLOCK,5495680,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
5383,5383,1 - 93:08,SHOT,5588880,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
5592,5592,1 - 97:41,FREE KICK,5861680,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
5602,5602,1 - 97:50,SHOT,5870120,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
5697,5697,1 - 01:25,SHOT,85560,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
5699,5699,1 - 01:26,BALL PLAYER BLOCK,86040,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
5799,5799,1 - 02:45,SHOT,165400,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
5936,5936,1 - 05:01,SHOT,301640,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
5974,5974,1 - 05:38,CROSS,338080,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6024,6024,1 - 06:17,PLAYER SUCCESSFUL TACKLE,377600,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6060,6060,1 - 06:49,SHOT,409880,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6196,6196,1 - 08:55,BALL PLAYER BLOCK,535840,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6214,6214,1 - 09:07,CROSS,547160,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6216,6216,1 - 09:07,BALL PLAYER BLOCK,547600,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6247,6247,1 - 09:38,CROSS,578720,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6259,6259,1 - 09:46,SHOT,586800,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6345,6345,1 - 11:05,BALL PLAYER BLOCK,665800,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6346,6346,1 - 11:05,CROSS,665400,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6389,6389,1 - 11:57,CROSS,717400,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6615,6615,1 - 15:42,CROSS,942440,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6627,6627,1 - 15:55,BALL PLAYER BLOCK,955840,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6629,6629,1 - 15:57,PLAYER SUCCESSFUL TACKLE,957720,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6630,6630,1 - 15:57,SHOT,957440,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6653,6653,1 - 16:23,CROSS,983000,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6790,6790,1 - 18:32,PLAYER SUCCESSFUL TACKLE,1112080,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6841,6841,1 - 19:31,CROSS,1171600,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6845,6845,1 - 19:33,BALL PLAYER BLOCK,1173840,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6868,6868,1 - 20:00,CROSS,1200480,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6872,6872,1 - 20:03,SHOT,1203680,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6909,6909,1 - 20:44,CROSS,1244400,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6934,6934,1 - 21:20,PLAYER SUCCESSFUL TACKLE,1280600,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
6963,6963,1 - 21:40,PLAYER SUCCESSFUL TACKLE,1300880,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
7053,7053,1 - 23:02,BALL PLAYER BLOCK,1382880,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
7118,7118,1 - 24:03,CROSS,1443160,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
7176,7176,1 - 24:50,CROSS,1490200,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
7177,7177,1 - 24:50,BALL PLAYER BLOCK,1490840,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
7233,7233,1 - 25:32,CROSS,1532960,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
7499,7499,1 - 29:14,BALL PLAYER BLOCK,1754520,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
7655,7655,1 - 31:40,BALL PLAYER BLOCK,1900920,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
7797,7797,1 - 34:08,CROSS,2048000,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
7806,7806,1 - 34:17,CROSS,2057640,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8025,8025,1 - 37:41,BALL PLAYER BLOCK,2261840,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8045,8045,1 - 37:53,BALL PLAYER BLOCK,2273960,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8082,8082,1 - 38:21,PLAYER SUCCESSFUL TACKLE,2301720,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8097,8097,1 - 38:30,SHOT,2310240,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8139,8139,1 - 39:26,BALL PLAYER BLOCK,2366840,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8199,8199,1 - 40:33,CROSS,2433760,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8218,8218,1 - 41:06,CROSS,2466480,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8234,8234,1 - 41:24,PLAYER SUCCESSFUL TACKLE,2484840,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8248,8248,1 - 41:34,SHOT,2494880,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8250,8250,1 - 41:35,BALL PLAYER BLOCK,2495120,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8466,8466,1 - 45:04,CROSS,2704880,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8556,8556,1 - 46:26,CROSS,2786800,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8564,8564,1 - 46:32,BALL PLAYER BLOCK,2792120,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8576,8576,1 - 46:44,CROSS,2804840,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8578,8578,1 - 46:45,BALL PLAYER BLOCK,2805080,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8673,8673,1 - 48:11,SHOT,2891560,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8674,8674,1 - 48:12,BALL PLAYER BLOCK,2892240,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8696,8696,1 - 48:48,CROSS,2928320,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8697,8697,1 - 48:50,BALL PLAYER BLOCK,2930200,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8707,8707,1 - 48:58,CROSS,2938480,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8722,8722,1 - 49:24,CROSS,2964680,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8810,8810,1 - 50:59,CROSS,3059120,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8843,8843,1 - 51:36,CROSS,3096800,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
8974,8974,1 - 53:20,CROSS,3200000,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9150,9150,1 - 56:07,CROSS,3367760,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9151,9151,1 - 56:08,BALL PLAYER BLOCK,3368000,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9160,9160,1 - 56:14,SHOT,3374840,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9161,9161,1 - 56:15,BALL PLAYER BLOCK,3375640,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9180,9180,1 - 56:40,CROSS,3400840,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9182,9182,1 - 56:42,BALL PLAYER BLOCK,3402720,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9183,9183,1 - 56:42,SHOT,3402480,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9236,9236,1 - 57:36,CROSS,3456000,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9237,9237,1 - 57:37,SHOT,3457200,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9325,9325,1 - 59:18,BALL PLAYER BLOCK,3558160,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9365,9365,1 - 60:04,SHOT,3604840,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9537,9537,1 - 62:46,CROSS,3766360,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9548,9548,1 - 62:55,CROSS,3775680,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9607,9607,1 - 63:46,PLAYER SUCCESSFUL TACKLE,3826440,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9629,9629,1 - 64:07,SHOT,3847960,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9632,9632,1 - 64:09,GOAL,3849360,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9712,9712,1 - 65:26,BALL PLAYER BLOCK,3926480,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9846,9846,1 - 68:11,FREE KICK,4091400,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9902,9902,1 - 69:00,SHOT,4140960,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
9904,9904,1 - 69:01,BALL PLAYER BLOCK,4141120,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10115,10115,1 - 72:41,PLAYER SUCCESSFUL TACKLE,4361720,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10141,10141,1 - 73:17,CROSS,4397840,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10161,10161,1 - 73:34,BALL PLAYER BLOCK,4414440,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10317,10317,1 - 76:11,BALL PLAYER BLOCK,4571120,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10394,10394,1 - 77:27,CROSS,4647440,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10465,10465,1 - 78:27,CROSS,4707560,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10553,10553,1 - 80:31,FREE KICK,4831960,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10564,10564,1 - 80:44,CROSS,4844040,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10666,10666,1 - 82:43,BALL PLAYER BLOCK,4963000,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10840,10840,1 - 85:43,BALL PLAYER BLOCK,5143880,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10857,10857,1 - 86:01,CROSS,5161800,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10858,10858,1 - 86:02,SHOT,5162760,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10859,10859,1 - 86:03,BALL PLAYER BLOCK,5163120,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10868,10868,1 - 86:09,SHOT,5169040,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10869,10869,1 - 86:09,BALL PLAYER BLOCK,5169520,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10935,10935,1 - 87:08,BALL PLAYER BLOCK,5228400,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10963,10963,1 - 87:30,CROSS,5250800,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10966,10966,1 - 87:32,SHOT,5252600,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
10967,10967,1 - 87:34,GOAL,5254160,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11152,11152,1 - 90:29,BALL PLAYER BLOCK,5429840,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11153,11153,1 - 90:29,CROSS,5429720,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11154,11154,1 - 90:31,BALL PLAYER BLOCK,5431200,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11178,11178,1 - 90:58,CROSS,5458680,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11216,11216,1 - 91:32,CROSS,5492320,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11260,11260,1 - 92:09,CROSS,5529240,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11261,11261,1 - 92:09,BALL PLAYER BLOCK,5529400,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11272,11272,1 - 92:19,BALL PLAYER BLOCK,5539240,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11298,11298,1 - 92:39,SHOT,5559240,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11299,11299,1 - 92:39,BALL PLAYER BLOCK,5559400,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11307,11307,1 - 92:47,CROSS,5567680,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11375,11375,1 - 94:07,SHOT,5647400,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11377,11377,1 - 94:08,BALL PLAYER BLOCK,5648040,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11399,11399,1 - 94:37,CROSS,5677520,away,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11409,11409,1 - 94:49,BALL PLAYER BLOCK,5689440,home,visible,england_efl/2019-2020/2019-10-01 - Brentford - Bristol City
11456,11456,1 - 00:29,CROSS,29920,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
11463,11463,1 - 00:34,SHOT,34520,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
11464,11464,1 - 00:34,BALL PLAYER BLOCK,34840,home,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
11486,11486,1 - 01:02,CROSS,62280,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
11492,11492,1 - 01:06,CROSS,66360,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
11508,11508,1 - 01:17,CROSS,77200,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
11558,11558,1 - 02:13,CROSS,133960,home,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
11638,11638,1 - 03:46,PLAYER SUCCESSFUL TACKLE,226200,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
11714,11714,1 - 05:08,PLAYER SUCCESSFUL TACKLE,308640,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
